mangaki_id,mangaki_title,manami_title,anidb.net,myanimelist.net,anilist.co,kitsu.io,notify.moe
,,Dokidoki Dream!!!,,https://myanimelist.net/anime/36600,https://anilist.co/anime/102743,https://kitsu.io/anime/14100,https://notify.moe/anime/VvbH2Kiig
,,Spicy Swingy Style,,https://myanimelist.net/anime/36607,,https://kitsu.io/anime/14106,https://notify.moe/anime/ZmaHhKmig
,,SPICY SWINGY STYLE,,,https://anilist.co/anime/102820,,
,,Tic Tac Dreamin',,https://myanimelist.net/anime/36605,https://anilist.co/anime/102818,https://kitsu.io/anime/14105,https://notify.moe/anime/O3xHhKimg
,,Still,,https://myanimelist.net/anime/36451,https://anilist.co/anime/102677,https://kitsu.io/anime/13877,https://notify.moe/anime/kABIhFiig
,,Very! Merry!! Session!!!,,https://myanimelist.net/anime/37845,https://anilist.co/anime/102852,https://kitsu.io/anime/41275,https://notify.moe/anime/-KA0C6niR
,,Fortissimo Bell,,https://myanimelist.net/anime/36595,https://anilist.co/anime/102727,https://kitsu.io/anime/14098,https://notify.moe/anime/QzbH2FmmR
,,Bang Babang Bang!!!,,https://myanimelist.net/anime/36604,https://anilist.co/anime/102817,https://kitsu.io/anime/14048,https://notify.moe/anime/gBFH2FiiR
,,Black'n White Jammin' Cats,,https://myanimelist.net/anime/38809,https://anilist.co/anime/109417,https://kitsu.io/anime/42566,
,,Light Speed Days,,https://myanimelist.net/anime/39001,https://anilist.co/anime/110360,,
,,Prism,,https://myanimelist.net/anime/37357,https://anilist.co/anime/102850,https://kitsu.io/anime/41045,https://notify.moe/anime/RmZF2Fmmg
,,Watashi no Naka no Gensou-teki Sekaikan Oyobi Sono Kengen wo Souki Saseta Aru Genjitsu de no Dekigot,,https://myanimelist.net/anime/36596,,https://kitsu.io/anime/14120,
,,Watashi no Naka no Gensou-teki Sekaikan Oyobi Sono Kengen wo Souki Saseta Aru Genjitsu de no Dekigoto ni Kansuru Ichi Kousatsu,,,https://anilist.co/anime/102736,,https://notify.moe/anime/RPBHhFiiR
14348.0,Meow no Hoshi,Meow no Hoshi,,,https://anilist.co/anime/113333,,
,,Meow no Hoshi,,,,https://kitsu.io/anime/11798,
,,Meow's Star,https://anidb.net/anime/11884,https://myanimelist.net/anime/41726,,,
15185.0,Macross Δ SP,Macross Δ SP,,,,https://kitsu.io/anime/12684,https://notify.moe/anime/S6xi2FiiR
,,Macross Δ Special,,,https://anilist.co/anime/97952,,
17546.0,Pokémon the Movie 20: I Choose You!,Gekijouban Pocket Monsters: Kimi ni Kimeta!,https://anidb.net/anime/12646,,,,
,,Pokemon Movie 20: Kimi ni Kimeta!,,https://myanimelist.net/anime/34540,,,
,,Pocket Monsters: Kimi ni Kimeta!,,,https://anilist.co/anime/98298,,
,,Pokemon: Kimi ni Kimeta!,,,,https://kitsu.io/anime/12941,https://notify.moe/anime/pExWhKimg
18331.0,"Fireworks, Should We See it from the Side or the Bottom?",Uchiage Hanabi,,https://myanimelist.net/anime/36125,https://anilist.co/anime/100619,https://kitsu.io/anime/13716,https://notify.moe/anime/jsqV2Kiig
,,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",https://anidb.net/anime/12605,https://myanimelist.net/anime/34498,https://anilist.co/anime/97908,https://kitsu.io/anime/12794,https://notify.moe/anime/a4iW2Fiig
18416.0,"The Night is Short, Walk On Girl",Yoru wa Mijikashi Aruke yo Otome,https://anidb.net/anime/12647,,,,
,,Yoru wa Mijikashi Arukeyo Otome,,https://myanimelist.net/anime/34537,https://anilist.co/anime/97917,https://kitsu.io/anime/13138,https://notify.moe/anime/-ttMhKmiR
20229.0,Shin Saru Kani Gassen (1939),Shin Saru Kani Gassen,,https://myanimelist.net/anime/30045,https://anilist.co/anime/102627,https://kitsu.io/anime/9584,https://notify.moe/anime/rumLtFmig
,,Manguwa Shin Saru Kani Gassen,https://anidb.net/anime/6945,,https://anilist.co/anime/109341,https://kitsu.io/anime/14225,https://notify.moe/anime/xazDhKmmR
